State,1980-81,1981-82,1982-83,1983-84,1984-85,1985-86,1986-87,1987-88,1988-89,1989-90,1990-91,1991-92,1992-93,1993-94,1994-95,1995-96,1996-97,1997-98,1998-99,1999-00,2000-01,2001-02,2002-03,2003-04,2004-05,2005-06,2006-07,2007-08,2008-09,2009-10,2010-11,2011-12,2012-13,2013-14,2014-15,2015-16
Andhra Pradesh ,582,703,808,965,1174,1439,1559,1819,2122,2384,2650,3060,3390,3830,4230,4120,4880,7110,7960,9010,10550,12560,12620,13810,16250,19210,23930,28790,33360,35180,45140,53280,59880,64120,38480,44420
Arunachal Pradesh,–,–,–,–,–,–,2,2,2,2,0,0,0,0,10,10,10,10,10,10,20,30,40,40,50,60,80,100,140,170,210,320,320,430,490,510
Assam,66,90,108,136,189,235,245,249,279,333,420,510,520,610,630,700,770,880,980,1230,1410,1570,1940,2070,2710,3230,3480,3360,4150,4990,5930,7640,8250,8990,10750,12890
Bihar,277,338,382,442,464,576,659,761,831,925,1140,1310,1560,1750,1840,1970,2250,2390,2670,3640,2940,2440,2760,3360,3340,3560,4030,5090,6170,8090,9870,12610,16250,19960,25660,30880
Chhattisgarh,–,–,–,–,–,–,–,–,–,–,,,,,,,,,,,750,1990,2330,2590,3230,4050,5050,5620,6590,7120,9010,10710,13030,14340,18130,20090
Goa,–,–,–,–,–,–,61,52,62,70,90,110,140,190,230,270,300,370,360,460,520,570,600,710,860,1100,1290,1360,1690,1760,2140,2550,2940,3580,4080,4290
Gujarat,531,661,763,879,980,1075,1264,1526,1871,2160,2400,2890,3460,3940,4740,5320,6070,6590,7620,8160,9050,9250,9520,11170,12960,15700,18470,21890,23560,26740,36340,44250,53900,56370,62070,68420
Haryana,234,291,337,366,406,502,566,664,795,910,1070,1300,1450,1590,1890,2170,2140,2370,3120,3520,4310,4970,5550,6350,7440,9080,10930,11620,11660,13220,16790,20400,23560,25570,29600,33250
Himachal Pradesh,34,42,48,54,61,74,92,103,118,142,160,190,220,260,300,340,410,480,570,620,730,920,890,980,1250,1500,1660,1960,2240,2570,3640,4110,4630,5120,5700,6340
Jammu & Kashmir,38,60,62,71,79,104,118,123,138,133,160,160,210,230,240,290,290,370,440,580,750,860,980,1150,1400,1690,1900,2300,2690,3070,3480,4750,5830,6270,6440,8010
Jharkhand,–,–,–,–,–,–,–,–,–,–,,,,,,,,,,,,2080,2280,2280,2400,2890,3130,3550,5080,5560,5970,6950,8220,9380,13310,14700
Karnataka,475,607,674,760,909,1076,1206,1415,1699,1932,2330,2900,3100,3810,4290,5270,5770,6410,6940,7740,9040,9850,10440,12570,16070,18630,23300,25990,27650,30580,38470,46480,53750,62600,68550,76450
Kerala,337,374,438,487,622,731,814,925,1066,1233,1340,1670,1890,2340,2800,3380,3900,4500,4650,5190,5870,5920,7300,8090,8960,9780,11940,13670,15990,17630,21720,25720,30080,32000,38280,45430
Madhya Pradesh,386,476,558,643,713,831,974,1115,1338,1578,1750,2120,2330,2680,2870,3520,4100,4560,5110,5800,5640,4700,6170,6790,7770,9120,10470,12020,13610,17270,21420,26970,30580,33550,39190,43450
Maharashtra,1130,1384,1648,1823,1966,2377,2792,3219,3823,4401,5120,5950,6560,7700,9450,10930,11720,13720,14200,17270,19720,21290,22810,25160,30610,33540,40100,47530,52030,59110,75030,87610,103450,108600,118960,130580
Manipur,3,4,4,5,6,7,9,12,12,13,20,10,20,20,20,30,10,40,30,40,50,50,70,70,80,90,120,150,170,200,270,370,330,470,590,670
Meghalaya,5,6,7,10,12,15,18,20,28,31,40,40,40,50,60,70,80,70,90,100,120,140,150,180,210,250,300,320,370,440,570,700,850,950,1210,1040
Mizoram,–,–,–,–,–,2,–,4,2,3,0,0,10,10,10,10,10,10,10,10,10,20,30,30,40,60,70,80,90,110,130,180,220,230,270,330
Nagaland,4,6,7,10,9,10,13,15,16,12,20,20,20,20,20,20,30,30,40,40,60,50,60,70,80,110,120,130,160,180,230,300,340,330,360,430
Odisha,132,160,174,201,228,286,338,387,443,525,670,670,760,860,920,1130,1340,1420,1490,1700,2180,2470,2870,3300,4180,5000,6070,6860,8000,8980,11190,13440,15030,16890,19270,21280
Punjab,349,432,491,544,567,670,803,916,1041,1228,1290,1540,1760,2150,2600,2650,2740,3040,3260,3950,4900,4820,5710,6150,6950,8990,9020,9900,11150,12040,16830,18840,22590,24080,28560,29350
Rajasthan,230,312,390,441,487,566,656,773,893,1073,1220,1550,1730,1950,2310,2730,3120,3610,3940,4530,5300,5670,6250,7250,8420,9880,11610,13280,14940,16410,20760,25380,30500,33480,39790,47100
Sikkim,3,3,3,4,5,6,7,11,11,11,10,10,10,10,10,20,20,30,30,30,70,80,110,110,120,150,170,200,180,220,280,290,440,520,510,560
Tamil Nadu,639,842,1012,1145,1298,1548,1757,1762,1994,2489,3120,3730,4160,4800,5830,7150,7980,8690,9630,10920,12280,13010,14340,15940,19360,23330,27770,29620,33680,36550,47780,59520,71250,73720,85770,96080
Telangana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,35380,46500
Tripura,4,5,6,8,8,10,12,14,18,21,30,30,30,40,40,50,60,70,80,100,130,160,180,220,240,300,340,370,440,530,620,860,1000,1070,1240,1320
Uttar Pradesh,645,823,929,992,1140,1291,1529,1989,2066,2449,3160,3500,3890,4130,4880,5470,6310,7000,7910,9400,10980,10330,12770,13600,15690,18860,23000,24960,28660,33880,41350,52610,58100,66580,75970,91920
Uttarakhand,,,,,,,,,,,,,,,,,,,,,300,890,1020,1230,1440,1790,2510,2740,3040,3560,4410,5620,6410,7360,8200,9460
West Bengal,514,616,638,769,937,1124,1219,1449,1735,1938,2130,2450,2610,2910,3730,4130,4260,4520,4780,5100,5920,6510,7050,8770,9920,10390,11700,13130,14420,16900,21130,24940,32810,35830,40060,46500
Delhi,–,–,–,–,–,–,–,–,–,–,,,,550,1790,2110,2530,2940,3090,3430,4400,4900,5320,5880,7110,8940,10160,11780,12180,13450,16480,19970,23430,25920,27670,34660
Puducherry,–,–,–,–,–,–,–,–,–,–,,,,,,,,,,,,,,,,480,570,650,730,870,1500,1590,1920,1900,2030,2340
