Date,Dividends,Stock Splits
2004-10-28,0.375,0.0
2005-02-03,0.4375,0.0
2005-07-06,0.625,0.0
2005-08-18,0.375,0.0
2005-10-18,0.375,0.0
2006-01-18,0.375,0.0
2006-06-16,0.5625,0.0
2006-07-28,0.375,2.0
2006-10-23,0.75,0.0
2007-01-22,0.75,0.0
2007-06-15,1.0,0.0
2007-07-27,0.75,0.0
2007-10-22,0.75,0.0
2008-01-23,0.75,0.0
2008-06-18,1.25,0.0
2008-07-31,0.75,0.0
2008-10-29,0.75,0.0
2009-01-28,0.75,0.0
2009-06-16,1.25,2.0
2009-07-27,1.0,0.0
2009-10-28,1.0,0.0
2010-01-27,1.0,0.0
2010-06-15,5.0,0.0
2010-07-29,1.0,0.0
2010-11-01,1.0,0.0
2011-01-27,1.0,0.0
2011-06-08,4.0,0.0
2011-07-28,1.5,0.0
2011-10-25,1.5,0.0
2012-01-25,1.5,0.0
2012-06-07,4.0,0.0
2012-07-23,1.5,0.0
2012-10-31,1.5,0.0
2013-01-23,1.5,0.0
2013-06-06,6.5,0.0
2013-07-29,2.0,0.0
2013-10-25,2.0,0.0
2014-01-27,2.0,0.0
2014-06-06,10.0,0.0
2014-07-28,20.0,0.0
2014-10-29,2.5,0.0
2015-01-27,2.5,0.0
2015-06-05,12.0,0.0
2015-07-20,2.75,0.0
2015-10-21,5.5,0.0
2015-10-23,2.75,0.0
2016-01-21,2.75,0.0
2016-06-06,13.5,0.0
2016-07-25,3.25,0.0
2016-10-24,3.25,0.0
2017-01-23,3.25,0.0
2017-06-13,13.75,0.0
2017-07-24,3.5,0.0
2017-10-25,3.5,0.0
2018-01-22,3.5,0.0
2018-05-31,14.5,2.0
2018-07-17,4.0,0.0
2018-10-23,4.0,0.0
2019-01-17,4.0,0.0
2019-06-04,18.0,0.0
2019-07-16,5.0,0.0
2019-10-17,40.0,0.0
2020-01-23,5.0,0.0
2020-03-19,12.0,0.0
2020-06-03,6.0,0.0
2020-07-16,5.0,0.0
2020-10-14,12.0,0.0
2021-01-14,6.0,0.0
2021-05-25,15.0,0.0
2021-07-15,7.0,0.0
